"price","name","location","bedroom","bathroom","land_area","building_area"
"Rp200 Juta","HOT LISTING! Rumah Untuk Investasi di Pakis, LT 78m² Bangunan 78m²","Surabaya","2","1","78 m²","78 m²"
"Rp200 Juta","Rumah Eksklusif lokasi Jambangan, Surabaya, Luas 72m² LB 70m²","Jambangan, Surabaya","2","1","72 m²","70 m²"
"Rp200 Juta","Rumah 3 KT 1 KM View Laut di Surabaya Kota, Surabaya","Surabaya","3","1","152 m²","150 m²"
"Rp200 Juta","Rumah di Surabaya Kota, Surabaya, LT 78m² LB 75m² - SEGERA MILIKI!","Surabaya","2","1","78 m²","75 m²"
"Rp225 Juta","RUMAH KARANGAN WIYUNG DIJUAL HARGA TANAH","Wiyung, Surabaya","4","2","143 m²","143 m²"
"Rp235 Juta","Rumah Siap Pakai di Surabaya Kota, Surabaya, LT 69m² LB 65m²","Surabaya","2","1","69 m²","65 m²"
"Rp241 Juta","Jual Rumah 2 KT di Gununganyar, Surabaya - Luas Tanah 84m²","Surabaya","2","1","84 m²","52 m²"
"Rp241 Juta","DIJUAL CEPAT! Rumah Ready Stock Lokasi Premium Gununganyar, Luas 84m² LB 52m²","Surabaya","2","1","84 m²","52 m²"
"Rp247 Juta","Lelang Aset Surabaya Di Menganti Di Taman Menganti Mas","Menganti, Gresik","2","1","90 m²","78 m²"
"Rp250 Juta","BEST CHOICE! Rumah di Surabaya Kota, Luas 79m² LB 120m²","Surabaya","4","2","79 m²","120 m²"
"Rp250 Juta","Disewakan rumah baru renovasi ISEN","Surabaya","3","3","414 m²","300 m²"
"Rp250 Juta","HOT LISTING! Rumah Ready Stock di Gundih, Surabaya, LT 79m² Bangunan 40m²","Surabaya","2","1","79 m²","40 m²"
"Rp250 Juta","Dijual Cepat Rumah Di Tanggulangin","Sidoarjo, Sidoarjo","2","1","72 m²","72 m²"
"Rp250 Juta","Disewakan Rumah Di International Village 1 Hook","Surabaya","3","3","430 m²","600 m²"
"Rp250 Juta","Rumah di Kawasan Surabaya Kota, Lingkungan Elite 2 KT","Surabaya","2","1","72 m²","56 m²"
"Rp255 Juta","LISTING BARU! Rumah Strategis di Surabaya Kota, LT 149m² LB 149m²","Surabaya","2","1","149 m²","149 m²"
"Rp260 Juta","Rumah Lokasi Strategis di Sawahan, Surabaya, LT 78m² Bangunan 78m²","Sawahan, Surabaya","2","1","78 m²","78 m²"
"Rp260 Juta","Lelang Aset Surabaya Di Menganti Di Menganti Permai","Menganti, Gresik","2","1","94 m²","64 m²"
"Rp265 Juta","Rumah Baru Mungil 1 Lantai Dukuh Setro, Tambaksari, Kenjeran, Suramadu","Tambaksari, Surabaya","1","1","24 m²","24 m²"
"Rp268 Juta","Rumah Shm, Minimalis, Muraaah, Hanya 200jt an, Mepet Sby Barat","Menganti, Gresik","2","1","48 m²","36 m²"
"Rp270 Juta","Rumah Modern Futuristik Kedamean Gresik Barat Surabaya","Wringinanom, Gresik","2","1","60 m²","32 m²"
"Rp270 Juta","Rumah Minimalis 100meter saja ke Raya Mulyosari","Surabaya","2","2","21 m²","40 m²"
"Rp275 Juta","Rumah Menganti Baru Gress Hot Listing Langka Murah Cepat Gresik","Menganti, Gresik","2","1","48 m²","36 m²"
"Rp275 Juta","Jual Segera Rumah LT 22m² / LB 40m² di Jantung Kota Kenjeran, Surabaya","Kenjeran, Surabaya","2","1","22 m²","40 m²"
"Rp280 Juta","RUMAH BARU SURABAYA TIMUR MULYOSARI MULYOREJO DAN SEMOLOWARU SEMOLO","Mulyorejo, Surabaya","2","2","21 m²","42 m²"
"Rp280 Juta","Rumah Asri 2 Kamar View Danau di Tambaksari, Surabaya","Tambaksari, Surabaya","2","2","21 m²","40 m²"
"Rp280 Juta","Lelang Aset Surabaya Di Taman Di Wisma Trosobo","Taman, Sidoarjo","2","1","148 m²","130 m²"
"Rp280 Juta","Rumah Murah Strategis Gununganyar Permai Regency Surabaya","Surabaya","3","1","69 m²","69 m²"
"Rp290 Juta","KALILOM SIAP HUNI ROW JALAN MUAT MOBIL BISA BUAT PARKIR","Tambaksari, Surabaya","1","1","33 m²","33 m²"
"Rp290 Juta","KALILOM STRATEGIS DEKAT SD, SPBU, JALAN RAYA ROW LEBAR","Kenjeran, Surabaya","1","1","33 m²","33 m²"
"Rp293 Juta","HOT LISTING! Rumah Ready Stock di Gununganyar, Surabaya, Luas 72m² Bangunan 36m²","Surabaya","2","1","72 m²","36 m²"
"Rp293 Juta","Rumah 2 Kamar Dekat Tempat Strategis di Gununganyar, Surabaya","Surabaya","2","1","72 m²","36 m²"
"Rp293 Juta","HOT LISTING! Rumah Nyaman area Gununganyar, Luas 72m² LB 36m²","Surabaya","2","1","72 m²","36 m²"
"Rp293 Juta","HUNIAN PILIHAN! Rumah area Gununganyar, LT 72m² LB 36m²","Surabaya","2","1","72 m²","36 m²"
"Rp300 Juta","Rumah Minimalis 2 Kamar Siap Huni di Menganti, Dekat Pusat Perbelanjaan, Surabaya","Surabaya","2","1","60 m²","30 m²"
"Rp300 Juta","Rumah Nyaman Lakarsantri, Area Sejuk - 2 KT","Lakarsantri, Surabaya","2","1","60 m²","30 m²"
"Rp300 Juta","Rumah 2 KT 1 KM di Area Menganti, Surabaya","Surabaya","2","1","60 m²","36 m²"
"Rp300 Juta","Rumah di Sidoarjo, Surabaya, LT 92m² Bangunan 36m²","Surabaya","2","1","92 m²","36 m²"
"Rp300 Juta","BEST CHOICE! Rumah area Menganti, Luas 60m² LB 30m²","Surabaya","2","1","60 m²","30 m²"
"Rp300 Juta","Rumah Strategis 2 KT Luas Tanah 70m² di Sidoarjo, Surabaya","Surabaya","2","1","70 m²","36 m²"
"Rp300 Juta","Rumah Terawat LT 24m² / LB 50m² di Kawasan Bisnis Bulak, Surabaya","Bulak, Surabaya","2","1","24 m²","50 m²"
"Rp300 Juta","Rumah Minimalis 2 lantai Surabaya Timur","Surabaya","2","2","24 m²","24 m²"
"Rp300 Juta","BEST INVESTMENT! Rumah di Sambikerep, LT 295m² Bangunan 270m²","Sambikerep, Surabaya","4","2","295 m²","270 m²"
"Rp300 Juta","Rumah Siap Disurvey di Sukolilo, Surabaya, Luas 27m² Bangunan 50m²","Sukolilo, Surabaya","2","2","27 m²","50 m²"
"Rp300 Juta","Rumah 2 KT 2 KM di Kawasan Semolowaru, Surabaya","Surabaya","2","2","21 m²","50 m²"
"Rp300 Juta","Bisa KPR! Rumah Sukolilo, Surabaya, LT 21m² Bangunan 50m²","Sukolilo, Surabaya","2","1","21 m²","50 m²"
"Rp300 Juta","Raya Satelit","Surabaya","6","3","600 m²","550 m²"
"Rp300 Juta","HOT PROPERTY! Rumah Strategis di Menganti, Luas 72m² Bangunan 36m²","Surabaya","2","1","72 m²","36 m²"
"Rp300 Juta","Rumah Terawat kawasan Sambikerep, Surabaya, Luas 295m² LB 295m² DIJUAL CEPAT!","Sambikerep, Surabaya","3","2","295 m²","295 m²"
"Rp300 Juta","Rumah Minimalis di Perumahan Bumi Papan Selaras Blok Da No. 36 Desa Tanggul Kec. Wonoayu Kab. Sidoarjo","Surabaya","2","1","105 m²","71 m²"
"Rp300 Juta","Rumah Berkualitas dengan Luas Tanah 98m² di Kawasan Elite Cerme, Gresik","Cerme, Gresik","2","1","98 m²","76 m²"
"Rp300 Juta","BEST DEAL! Rumah Nyaman di Sambikerep, Luas 295m² LB 200m²","Sambikerep, Surabaya","4","3","295 m²","200 m²"
"Rp300 Juta","THE FAZZA Driyorejo Gresik Rmh Cantik DP 0% Cicilan 1.9Jtan Free Biaya","Driyorejo, Gresik","2","1","34 m²","60 m²"
"Rp300 Juta","Rumah Bagus Strategis Graha Surya Nata Surabaya","Benowo, Surabaya","3","2","72 m²","72 m²"
"Rp306 Juta","Rumah 2 Lantai 300 Jutaan dekat Bandara Juanda, Poltek Pelayaran","Surabaya","1","1","18 m²","25 m²"
"Rp315 Juta","Dijual Murah Rumah dengan 3 Kamar Tidur dan 1 Kamar Mandi di Kawasan Pakal, Surabaya","Pakal, Surabaya","3","1","90 m²","90 m²"
"Rp315 Juta","Rumah Menguntungkan di Pusat Kota Tambaksari, Surabaya - LT 21m²","Tambaksari, Surabaya","2","2","21 m²","42 m²"
"Rp315 Juta","FEATURED! Rumah Nyaman di Kenjeran, Luas 18m² Bangunan 36m²","Kenjeran, Surabaya","1","2","18 m²","36 m²"
"Rp315 Juta","Bisa KPR! Rumah Asri area Pakal, Luas 90m² Bangunan 90m²","Pakal, Surabaya","2","1","90 m²","90 m²"
"Rp315 Juta","Bronggalan Rumah Minimalis","Surabaya","2","2","21 m²","42 m²"
"Rp317 Juta","Lelang Aset Surabaya Di Tandes Di Banjar Sugihan","Tandes, Surabaya","2","1","61 m²","40 m²"
"Rp325 Juta","RUMAH BARU JOLOTUNDO SIAP HUNI","Tambaksari, Surabaya","2","2","20 m²","40 m²"
"Rp325 Juta","BEST DEAL! Rumah Nyaman di Benowo, Luas 120m² LB 84m²","Benowo, Surabaya","2","1","120 m²","84 m²"
"Rp325 Juta","Dijual Rumah Surabaya Di Meganti Di Desa Hulaan","Surabaya","2","1","90 m²","60 m²"
"Rp325 Juta","Rumah di Menganti, Gresik, LT 45m² LB 30m² - SEGERA MILIKI!","Menganti, Gresik","2","1","45 m²","30 m²"
"Rp325 Juta","Rumah di Karangploso, Malang, Luas 85m² Bangunan 55m²","Karangploso, Malang","2","1","85 m²","55 m²"
"Rp329 Juta","Lelang Aset Surabaya Di Tandes Di Simo Kalangan","Tandes, Surabaya","2","1","120 m²","84 m²"
"Rp335 Juta","Rumah Kawasan Benowo, LT 24m², LB 19m²","Benowo, Surabaya","2","1","24 m²","19 m²"
"Rp338 Juta","Lelang Aset Surabaya Di Wonokromo Di Karangrejo Sawah","Wonokromo, Surabaya","2","1","110 m²","82 m²"
"Rp338 Juta","Rumah Kawasan Tandes, Luas 91m², Bangunan 70m²","Tandes, Surabaya","2","1","91 m²","70 m²"
"Rp342 Juta","Rumah 1 Lantai Menganti Driyorejo, Barat Surabaya","Wringinanom, Gresik","2","1","60 m²","34 m²"
"Rp349 Juta","RUMAH CANDI LONTAR SURABAYA 36932","Lakarsantri, Surabaya","1","1","152 m²","120 m²"
"Rp350 Juta","Lelang Rumah Murah","Surabaya","3","3","84 m²","80 m²"
"Rp350 Juta","Rumah LT 90m² Dekat Tempat Strategis di Buduran, Sidoarjo","Buduran, Sidoarjo","2","1","90 m²","36 m²"
"Rp350 Juta","Rumah Murah Lokasi Manukan Lor Tandes Surabaya Barat","Tandes, Surabaya","2","1","91 m²","91 m²"
"Rp350 Juta","Dijual Rumah Kontrakan Ring 1 Masjid Nasional Al Akbar Sby(Masjid Agung)","Jambangan, Surabaya","2","1","28 m²","28 m²"
"Rp350 Juta","HOT LISTING! Rumah Untuk Investasi di Lawang, LT 84m² LB 110m²","Lawang, Malang","2","1","84 m²","110 m²"
"Rp350 Juta","KESEMPATAN TERBAIK! Rumah Asri area Manukan, LT 92m² LB 60m²","Surabaya","2","1","92 m²","60 m²"
"Rp350 Juta","Rumah 2 KT 1 KM di Kawasan Sidoarjo, Surabaya","Surabaya","2","1","90 m²","36 m²"
"Rp350 Juta","Rumah SUPER MEWAH! area Karangpilang, Surabaya, LT 63m² LB 63m², BISA KPR","Surabaya","2","1","63 m²","63 m²"
"Rp350 Juta","Rumah Bagus Strategis Dukuh Katimoho, Kedamean Gresik","Kedamean, Gresik","4","3","380 m²","380 m²"
"Rp352 Juta","INVESTASI TEPAT! Rumah area Surabaya Kota, LT 84m² Bangunan 82m²","Surabaya","3","1","84 m²","82 m²"
"Rp353 Juta","Rumah Murah Aset Mandiri, Surabaya Timur, Kota Surabaya","Rungkut, Surabaya","1","1","84 m²","34 m²"
"Rp355 Juta","Hasbana Land Juanda","Buduran, Sidoarjo","2","1","72 m²","36 m²"
"Rp360 Juta","BEST DEAL! Rumah Siap Huni area Tambaksari, LT 24m² Bangunan 72m²","Tambaksari, Surabaya","2","1","24 m²","72 m²"
"Rp368 Juta","Rumah Kawasan Menganti, Luas 60m², LB 36m²","Surabaya","2","1","60 m²","36 m²"
"Rp370 Juta","Rumah Bagus SHM Graha Kencana Pakal, Surabaya","Pakal, Surabaya","2","1","60 m²","60 m²"
"Rp372 Juta","Rumah Minimalis Modern Dekat Winginanom Krian dan Barat Surabaya","Menganti, Gresik","2","1","60 m²","34 m²"
"Rp374 Juta","Rumah Murah Aset Mandiri, Kota Surabaya Jawa Timur","Benowo, Surabaya","2","1","69 m²","42 m²"
"Rp375 Juta","Murah Rmh 2lt New 300 Jtan.medayu Utara Rungkut Sby","Rungkut, Surabaya","2","1","42 m²","54 m²"
"Rp375 Juta","Rumah Siap Huni Gribig Kedungkandang Malang","Kedungkandang, Malang","2","1","65 m²","36 m²"
"Rp375 Juta","Pakal Surabaya Barat SHM 2 Lantai Bisa Akses Mobil Harga Murah","Pakal, Surabaya","2","1","71 m²","60 m²"
"Rp375 Juta","Jual Murah Rumah Bulak Banteng, Kenjeran, Surabaya. Dekat Gor Pratama","Kenjeran, Surabaya","7","7","100 m²","200 m²"
"Rp375 Juta","Rumah Strategis area Menganti, Dekat Menganti, Surabaya, Surabaya - LT 70m²","Surabaya","2","1","70 m²","36 m²"
"Rp380 Juta","Investasi Menjanjikan 2 Kamar Tidur Akses Mudah di Jantung Kota Menganti, Surabaya","Surabaya","2","1","72 m²","36 m²"
"Rp381 Juta","RUMAH PENJARINGANSARI SURABAYA 42588","Rungkut, Surabaya","1","1","86 m²","50 m²"
"Rp385 Juta","Baru Mars Regency Menganti Dkt Citraland Lidah Babatan Wiyung Tol","Surabaya","2","1","72 m²","45 m²"
"Rp387 Juta","Rumah Murah Aset Mandiri, Surabaya Timur, Kota Surabaya","Rungkut, Surabaya","3","2","89 m²","80 m²"
"Rp388 Juta","RUMAH MURAH SIAP HUNI DI DEKAT SURABAYA BARAT MENGANTI CICILAN 2 JUTAAN","Menganti, Gresik","2","1","60 m²","36 m²"
"Rp388 Juta","1 Juta Sudah Dapat Rumah Mepet Lakarsantri Surabaya Free Biaya","Lakarsantri, Surabaya","2","1","60 m²","36 m²"
"Rp388 Juta","Rumah Impian Keluarga LB 36m² Lokasi Tenang di Menganti, Gresik","Menganti, Gresik","2","1","60 m²","36 m²"
"Rp388 Juta","Rumah Dijual Modern Minimalis Hulaan Dekat Beji Benowo Surabaya","Menganti, Gresik","2","1","60 m²","36 m²"
"Rp389 Juta","Rumah 2 KT 1 KM LT 25m², Luas Bangunan 25m² di Rungkut, Surabaya","Rungkut, Surabaya","2","1","25 m²","25 m²"
"Rp390 Juta","HOT DEAL! Dijual Rumah Premium area Sambikerep, Surabaya, LT 295m² Luas Bangunan 20m²","Sambikerep, Surabaya","2","1","295 m²","20 m²"
"Rp390 Juta","Rumah Asri area Sambikerep, Akses ke Sambikerep, Surabaya, Surabaya - LT 295m²","Sambikerep, Surabaya","2","1","295 m²","200 m²"
"Rp390 Juta","Dijual Rumah 2 KT di Citraland, Surabaya - LT 72m²","Surabaya","2","1","72 m²","36 m²"
"Rp390 Juta","Rumah Asri Citraland, Area Sejuk - LT 72m²","Surabaya","2","1","72 m²","36 m²"
"Rp390 Juta","Rumah kawasan Tambaksari, Surabaya, LT 30m² Bangunan 60m²","Tambaksari, Surabaya","2","1","30 m²","60 m²"
"Rp390 Juta","Dijual Rumah 2 KT di Sambikerep, Surabaya - LT 295m²","Sambikerep, Surabaya","2","1","295 m²","200 m²"
"Rp390 Juta","GOOD DEAL! Rumah Premium di Citraland, LT 72m² LB 36m²","Surabaya","2","1","72 m²","36 m²"
"Rp390 Juta","HUNIAN BERKELAS! Rumah Premium Sambikerep, Surabaya, LT 295m² Luas Bangunan 200m²","Sambikerep, Surabaya","2","1","295 m²","200 m²"
"Rp395 Juta","Rumah Bagus Murah Siap Huni Btu Gribig Malang Kota","Malang","2","1","65 m²","36 m²"
"Rp397 Juta","Kesempatan Langka Memiliki Rumah 2 KT 1 KM di Kawasan Komersial Driyorejo, Gresik","Driyorejo, Gresik","2","1","60 m²","34 m²"
"Rp399 Juta","Rumah Siap Huni 2 Lantai Medokan Ayu Dekat Upn Merr Uinsa Shm","Surabaya","1","1","25 m²","20 m²"
"Rp399 Juta","Rumah Mewah dekat Pasar Menganti Driyorejo, selangkah dari Surabaya barat","Wiyung, Surabaya","2","1","60 m²","40 m²"
"Rp399 Juta","Rumah Baru 2 Lantai Siap Huni Rungkut Medokanayu Dkt Merr Upn Shm","Rungkut, Surabaya","2","1","25 m²","45 m²"
"Rp399 Juta","Rumah Cocok Untuk Rumah Tinggal/Cafe/Kantor/Usaha","Tegalsari, Surabaya","7","4","618 m²","550 m²"
"Rp400 Juta","RUMAH MURAH SURABAYA GRAND ALANA WONOREJO","Surabaya","2","1","27 m²","28 m²"
"Rp400 Juta","PROMO SPESIAL! Rumah Nyaman di Surabaya Kota, LT 36m² LB 40m²","Surabaya","2","1","36 m²","40 m²"
"Rp400 Juta","Rindanavia Villa Residence Berada di Kaki Gunung Arjuno","Pandaan, Pasuruan","1","1","72 m²","36 m²"
"Rp400 Juta","Rumah Bagus Minimalis di Perum Griya Kartika Blok E No. 14 Desa Cemandi Sedati","Surabaya","2","1","78 m²","57 m²"
"Rp400 Juta","Dijual Rumah SHM 400 Jutaan di Manukan Lor Surabaya","Surabaya","2","1","95 m²","95 m²"
"Rp400 Juta","Rumah Di Perumahan Graha Indraprasta, Tulangan Sidoarjo Dekat Akses Jalan Ke Malang Dan Surabaya Rumah Shm Bagus","Tulangan, Sidoarjo","3","1","91 m²","91 m²"
"Rp400 Juta","RUMAH 1 LANTAI START 400 JUTA-AN SAJA DI SURABAYA BARAT","Benowo, Surabaya","2","1","32 m²","58 m²"
"Rp400 Juta","Rumah Surabaya Murah Graha Kencana Pakal Dkt Benowo Manukan Palma","Pakal, Surabaya","2","1","69 m²","45 m²"
"Rp400 Juta","Alana Wonorejo Baru Gress Murah Cepat Merr Hot Listing Surabaya","Rungkut, Surabaya","1","1","27 m²","29 m²"
"Rp400 Juta","Rumah Alana Wonorejo Baru Gress Murah Cepat Hot Listing Merr","Rungkut, Surabaya","2","1","50 m²","40 m²"
"Rp400 Juta","Rumah Baru Gress Grand Alana Wonorejo Murah Cepat langka","Rungkut, Surabaya","2","1","60 m²","48 m²"
"Rp400 Juta","Jual Segera Rumah 2 KT 1 KM di Surabaya Kota, Surabaya","Surabaya","2","1","69 m²","55 m²"
"Rp400 Juta","BEST DEAL! Rumah Untuk Investasi di Rungkut, Luas 185m² LB 100m²","Rungkut, Surabaya","3","2","185 m²","100 m²"
"Rp400 Juta","Dijual Rumah Murah Minimalis Surabaya Dekat Wisata Mangrove","Gunung Anyar, Surabaya","2","1","28 m²","21 m²"
"Rp403 Juta","Lelang Aset Surabaya Di Rungkut Di Jalan Baruk Timur","Rungkut, Surabaya","2","1","400 m²","800 m²"
"Rp405 Juta","Rumah Minimalis di Sambikerep, Surabaya, Luas 251m² LB 250m²","Sambikerep, Surabaya","4","3","251 m²","250 m²"
"Rp410 Juta","Rumah Strategis di Sidoarjo, Surabaya, Luas 105m² Bangunan 105m² - HARGA NEGO!","Surabaya","2","1","105 m²","105 m²"
"Rp410 Juta","HOT PROPERTY! Rumah Strategis area Pakal, LT 90m² LB 96m²","Pakal, Surabaya","2","1","90 m²","96 m²"
"Rp410 Juta","SPECIAL PROPERTY! Rumah di Pakal, Luas 90m² LB 96m²","Pakal, Surabaya","2","1","90 m²","96 m²"
"Rp410 Juta","Rumah Bisa KPR LT 90m² di Pakal, Keamanan 24 Jam, Surabaya","Pakal, Surabaya","2","1","90 m²","96 m²"
"Rp410 Juta","Rumah lokasi Pakal, Surabaya, Luas 90m² Bangunan 96m²","Pakal, Surabaya","2","1","90 m²","96 m²"
"Rp411 Juta","Rumah Modern Menganti Driyorejo selangkah dari Surabaya Barat","Wringinanom, Gresik","2","1","60 m²","40 m²"
"Rp411 Juta","Rumah Mewah Dekat Pasar Menganti Driyorejo, Barat Surabaya","Wiyung, Surabaya","2","1","60 m²","40 m²"
"Rp413 Juta","Lelang Aset Surabaya Di Pakal Di Pakal Regency","Pakal, Surabaya","2","1","116 m²","60 m²"
"Rp417 Juta","New Medokan Dkt Medayu Rungkut Gunung Anyar Baruk Wiguna Pandugo","Surabaya","2","2","35 m²","68 m²"
"Rp420 Juta","GOOD DEAL! Rumah Premium area Karangpilang, LT 112m² Bangunan 112m²","Surabaya","3","1","112 m²","112 m²"
"Rp420 Juta","Rumah 2 KT 1 KM Luas Tanah 84m², LB 67m² di Wonorejo, Surabaya","Surabaya","2","1","84 m²","67 m²"
"Rp420 Juta","GOOD DEAL! Rumah Strategis di Surabaya Kota, LT 112m² Bangunan 120m²","Surabaya","3","2","112 m²","120 m²"
"Rp420 Juta","Perum Grand Alana Wonorejo - SBY ( Start 420jutaan )","Surabaya","2","1","50 m²","30 m²"
"Rp420 Juta","Rumah Nyaman 2 KT di Karangpilang, Surabaya - Luas Tanah 112m²","Surabaya","2","2","112 m²","100 m²"
"Rp420 Juta","Rumah Murah Aset Mandiri,Surabaya Timur, Kota Surabaya","Rungkut, Surabaya","2","2","84 m²","67 m²"
"Rp425 Juta","PROPERTI UNGGULAN! Rumah Strategis di Surabaya Kota, Luas 126m² Bangunan 126m²","Surabaya","3","2","126 m²","126 m²"
"Rp425 Juta","Dijual Cepat Rumah Di Pondok Benowo Indah","Benowo, Surabaya","2","1","134 m²","30 m²"
"Rp425 Juta","Rumah LT 27m² Newly Built di Lokasi Prestisius Wonorejo, Surabaya","Surabaya","2","1","27 m²","31 m²"
"Rp425 Juta","Rumah Terawat 2 KT 2 KM di Wiyung, Surabaya","Wiyung, Surabaya","2","2","40 m²","68 m²"
"Rp425 Juta","Medokan, Siap Huni, Sudah Direnovasi, Harga Under 500jt, Dkt Oerr","Surabaya","2","1","58 m²","38 m²"
"Rp425 Juta","HOT DEAL! Jual Rumah Premium area Sedati, Sidoarjo, Luas Tanah 72m² Luas Bangunan 36m²","Sedati, Sidoarjo","2","1","72 m²","36 m²"
"Rp425 Juta","Baru Bogen Dkt Lebak Setro Ploso Kalijudan Kenjeran Kapasan Mojo","Surabaya","2","2","24 m²","40 m²"
"Rp425 Juta","Rumah Lokasi Strategis kawasan Gondangrejo, Karanganyar, LT 120m² LB 75m²","Gondangrejo, Karanganyar","3","1","120 m²","75 m²"
"Rp430 Juta","Rumah New Minimalis Di Menganti Permai","Surabaya","2","1","60 m²","40 m²"
"Rp430 Juta","De Naila Park Menganti Gresik","Menganti, Gresik","2","1","60 m²","36 m²"
"Rp430 Juta","Cukup Bayar Utj 1jt Sudah Bisa Punya Rumah 1 Lantai Di Jl Raya Mubin Wonokoyo Wedoroanom Menganti Gresik Shm Baru","Wiyung, Surabaya","2","1","60 m²","30 m²"
"Rp434 Juta","HUNIAN BERKELAS! Rumah Premium Sedati, Sidoarjo, LT 72m² Luas Bangunan 32m²","Sedati, Sidoarjo","2","1","72 m²","32 m²"
"Rp435 Juta","Rumah Rungkut Dibawah Harga Pasaran","Gunung Anyar, Surabaya","2","1","40 m²","30 m²"
"Rp435 Juta","Dijual Rumah Murah Siap Huni Lokasi Strategis di Gunung Anyar Tambak Surabaya Timur","Gunung Anyar, Surabaya","2","1","50 m²","50 m²"
"Rp435 Juta","NEW LISTING! Rumah Strategis area Rungkut, LT 40m² LB 30m²","Rungkut, Surabaya","2","1","40 m²","30 m²"
"Rp435 Juta","Rumah Jl. Jojoran V Timur Sudah Renovasi Pusat kota Surabaya","Gubeng, Surabaya","3","1","90 m²","75 m²"
"Rp436 Juta","RUMAH YOSOWILANGUN GRESIK 36554","Surabaya","2","1","148 m²","120 m²"
"Rp445 Juta","Rumah Murah Ready Unit Mepet Surabaya","Sukodono, Sidoarjo","2","1","90 m²","40 m²"
"Rp450 Juta","Rumah 450jt dekat kawasan margomulyo surabaya barat tanpa perantara","Tandes, Surabaya","5","2","73 m²","73 m²"
"Rp450 Juta","Rumah Medokan Surabaya Timur bisa Cash dan KPR","Rungkut, Surabaya","2","1","54 m²","54 m²"
"Rp450 Juta","Rumah Dekat Jalan Raya Provinsi Surabaya - Bangil","Beji, Pasuruan","2","1","105 m²","100 m²"
"Rp450 Juta","Rumah Murah Dekat Universitas UPN Surabaya","Rungkut, Surabaya","2","1","54 m²","45 m²"
"Rp450 Juta","Rumah Siap Huni Rungkut Surabaya","Rungkut, Surabaya","2","1","54 m²","54 m²"
"Rp450 Juta","Bisa KPR! Rumah Strategis di Kenjeran, Luas 65m² LB 50m²","Kenjeran, Surabaya","2","1","65 m²","50 m²"
"Rp450 Juta","HARGA SPECIAL! Rumah Nyaman area Rungkut, Surabaya, LT 35m² LB 35m² Bisa Nego!","Rungkut, Surabaya","2","1","35 m²","35 m²"
"Rp450 Juta","Rumah Bagus Siap Huni di Babatan Wiyung Siap Huni","Wiyung, Surabaya","2","1","90 m²","80 m²"
"Rp450 Juta","Dijual Rumah Di Medokan Ayu, Rungkut, Jawa Timur","Surabaya","2","1","54 m²","54 m²"
"Rp450 Juta","SIAP HUNI RUMAH PUTRA BANGSA DEKAT MERR","Surabaya","2","1","54 m²","54 m²"
"Rp450 Juta","Dijual Murah Pondok Benowo Indah","Benowo, Surabaya","2","1","90 m²","90 m²"
"Rp450 Juta","DIJUAL RUMAH PERUM PUTRA BANGSA+INCLUDE PERABOT","Surabaya","2","1","54 m²","54 m²"
"Rp450 Juta","400 Jt An Dpt Perabot Bisa Kpr Rumah 5 Menit Ke Upn Surabaya","Rungkut, Surabaya","2","1","54 m²","40 m²"
"Rp450 Juta","Rumah Murah Furnish","Rungkut, Surabaya","2","1","54 m²","70 m²"
"Rp450 Juta","Termurah Di Area Rungkut Dekat UPN","Rungkut, Surabaya","2","1","54 m²","40 m²"
"Rp450 Juta","Dijual Rumah Medokan Ayu Murah Siap Huni Tls 04","Surabaya","2","1","54 m²","54 m²"
"Rp450 Juta","Rumah Area Nyaman di Genteng, Surabaya, Luas 35m² Bangunan 70m²","Genteng, Surabaya","2","1","35 m²","70 m²"
"Rp450 Juta","Rumah Siap Huni Termurah Medokan Ayu Rungkut Surabaya Timur","Rungkut, Surabaya","2","1","54 m²","40 m²"
"Rp450 Juta","FOR SALE  Rumah Huni Lokasi Benowo Full Kerami","Benowo, Surabaya","2","1","72 m²","35 m²"
"Rp450 Juta","FOR SALE RUMAH MEDOKAN AYU MURAH TLS 04","Surabaya","2","1","54 m²","54 m²"
"Rp454 Juta","RUMAH MEZANINE   DI SURABAYA TIMUR","Surabaya","1","1","27 m²","28 m²"
"Rp454 Juta","HOT DEAL! Jual Rumah Premium area Wonorejo, Surabaya, Luas Tanah 27m² Luas Bangunan 28m²","Surabaya","1","1","27 m²","28 m²"
"Rp455 Juta","Lelang Aset Surabaya Di Benowo Di Western Village","Benowo, Surabaya","2","1","84 m²","120 m²"
"Rp455 Juta","Lelang Aset Surabaya Di Benowo Di Semenjaya Selatan","Benowo, Surabaya","2","1","70 m²","140 m²"
"Rp455 Juta","Lelang Aset Surabaya Di Benowo Di Western Village","Benowo, Surabaya","2","1","84 m²","120 m²"
"Rp460 Juta","Perumahan dengan konsep Korean Living Style pertama di Sidoarjo.  Rumah Ready, bagus, murah di Casa Regency Cangkringsari, Sukodono, Sidoarjo","Sukodono, Sidoarjo","2","1","72 m²","36 m²"
"Rp465 Juta","HOT LISTING! Rumah Untuk Investasi di Tambaksari, LT 24m² LB 72m²","Tambaksari, Surabaya","1","1","24 m²","72 m²"
"Rp469 Juta","RUMAH MULYOREJO SURABAYA 42560","Mulyorejo, Surabaya","1","1","177 m²","120 m²"
"Rp470 Juta","Rumah Modern di Menganti, Driyorejo Surabaya Raya","Menganti, Gresik","2","1","60 m²","36 m²"
